time_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
27988,-0.015128,-1.011624,0.057584,11.550000,-0.700000,1.190000
28108,-0.014640,-1.007720,0.079544,12.040000,-1.050000,1.190000
28279,-0.013664,-1.006256,0.092720,12.740000,-0.980000,1.330000
28406,-0.016592,-1.007232,0.115168,23.870001,-0.770000,1.750000
28520,-0.019032,-0.997472,0.170800,11.620000,-0.910000,1.330000
28678,-0.017568,-0.996984,0.185440,14.560000,-1.190000,1.540000
28804,-0.022448,-0.996496,0.215208,12.320000,-0.630000,1.260000
28935,-0.020008,-0.987712,0.245464,10.640000,-0.840000,1.260000
29098,-0.023912,-0.986736,0.268400,7.490000,-0.700000,1.050000
29212,-0.022448,-0.987224,0.262544,9.870000,-0.630000,1.190000
29333,-0.023424,-0.976488,0.299632,9.240000,-0.630000,0.980000
29456,-0.024400,-0.970632,0.318176,6.790000,-0.770000,0.910000
29622,-0.027816,-0.956968,0.354288,17.709999,-0.770000,1.260000
29757,-0.029280,-0.940864,0.391376,8.400000,-0.700000,1.050000
29876,-0.027816,-0.945744,0.398696,10.430000,-0.770000,1.260000
30069,-0.031232,-0.925736,0.435296,8.610000,-0.770000,1.050000
30213,-0.030256,-0.923296,0.444568,6.860000,-0.840000,0.980000
30334,-0.030256,-0.912072,0.477752,7.840000,-0.840000,1.120000
30500,-0.030256,-0.910120,0.471896,11.270000,-0.910000,1.260000
30624,-0.032696,-0.883280,0.534848,14.840000,-1.050000,1.330000
30743,-0.032696,-0.889624,0.521184,4.690000,-0.700000,0.700000
30870,-0.029768,-0.882304,0.525576,9.590000,-0.910000,1.190000
31037,-0.034648,-0.868640,0.556320,10.780000,-0.910000,1.120000
31179,-0.041480,-0.834480,0.599752,5.670000,-0.840000,0.910000
31306,-0.034160,-0.838872,0.596336,10.640000,-0.770000,1.050000
31466,-0.034648,-0.822768,0.619760,15.330000,-0.980000,1.470000
31591,-0.037088,-0.795440,0.655384,18.059999,-1.050000,1.330000
31730,-0.041480,-0.766160,0.703208,-1.890000,-1.470000,0.630000
31897,-0.041968,-0.760792,0.684176,24.360001,-1.190000,1.470000
32019,-0.040016,-0.727120,0.740784,13.930000,-0.770000,1.120000
32131,-0.041480,-0.713456,0.748592,12.250000,-0.700000,1.120000
32316,-0.040016,-0.681736,0.784216,10.430000,-0.910000,1.050000
32439,-0.044896,-0.669536,0.793488,5.460000,-0.840000,0.840000
32562,-0.040992,-0.662216,0.792512,6.930000,-0.770000,0.910000
32679,-0.042456,-0.653432,0.793488,9.380000,-0.840000,1.190000
32812,-0.044896,-0.628056,0.830088,15.330000,-0.840000,1.260000
32943,-0.043432,-0.601216,0.848144,16.379999,-1.050000,1.260000
33060,-0.043920,-0.571448,0.868640,13.160000,-1.050000,1.190000
33179,-0.046360,-0.556320,0.868640,12.460000,-0.560000,0.980000
33322,-0.043432,-0.515328,0.911584,10.430000,-1.260000,1.540000
33435,-0.044896,-0.495320,0.917928,26.110001,-1.120000,1.260000
33565,-0.042456,-0.459208,0.930128,19.879999,-0.770000,1.400000
33683,-0.045872,-0.427000,0.940864,24.570000,-1.050000,2.520000
33814,-0.046360,-0.369416,0.958432,26.879999,-1.260000,2.310000
33931,-0.052216,-0.321104,0.977464,22.400000,-0.910000,1.330000
34047,-0.043920,-0.255224,1.004304,30.730000,-1.120000,1.960000
34195,-0.054168,-0.183488,1.036512,21.070000,-1.050000,1.470000
34302,-0.047824,-0.168360,1.008696,22.820000,-0.840000,1.680000
34410,-0.047336,-0.109312,1.015040,33.389999,-1.260000,2.030000
34525,-0.046360,-0.013176,1.055544,11.410000,-1.190000,1.120000
34655,-0.048800,0.008296,1.042368,5.600000,-0.420000,0.910000
34775,-0.048800,0.006344,1.043344,-0.630000,-0.350000,0.770000
34889,-0.050752,-0.002440,1.040904,0.420000,-0.980000,0.840000
35013,-0.046848,-0.000488,1.038464,0.560000,-0.770000,0.840000
35161,-0.046360,0.003416,1.041880,0.490000,-0.700000,0.770000
35282,-0.048800,-0.001464,1.037976,0.490000,-0.840000,0.840000
